(Method , Model) : (HOG , KNN)
Method spend 9.05 sec.
Model spend 2.91 sec.
Accuracy = 0.0853
F1 score = 0.07860377231348617
Classification Report:               precision    recall  f1-score   support
          48       0.00      0.00      0.00       100
          49       0.00      0.00      0.00       100
          50       0.00      0.00      0.00       100
          51       0.00      0.00      0.00       100
          52       0.00      0.00      0.00       100
          53       0.00      0.00      0.00       100
          54       0.00      0.00      0.00        99
          55       0.00      0.00      0.00       100
          56       0.00      0.00      0.00       100
          57       0.00      0.00      0.00       100
          58       0.00      0.00      0.00       100
          59       0.00      0.00      0.00       100
          60       0.00      0.00      0.00        96
          61       0.00      0.00      0.00        92
          62       0.00      0.00      0.00        97
          63       0.00      0.00      0.00        98
          64       0.00      0.00      0.00       100
          65       0.00      0.00      0.00        99
          66       0.00      0.00      0.00        97
          67       0.00      0.00      0.00        99
          68       0.00      0.00      0.00       100
          69       0.00      0.00      0.00        98
          70       0.00      0.00      0.00        98
          71       0.00      0.00      0.00       100
          72       0.00      0.00      0.00       100
          73       0.00      0.00      0.00       100
          74       0.00      0.00      0.00       100
          75       0.00      0.00      0.00       100
          76       0.00      0.00      0.00       100
          77       0.00      0.00      0.00       100
          78       0.00      0.00      0.00        99
          79       0.00      0.00      0.00        99
          80       0.00      0.00      0.00       100
          81       0.00      0.00      0.00       100
          82       0.00      0.00      0.00       100
          83       0.00      0.00      0.00        99
          84       0.00      0.00      0.00       100
          85       0.00      0.00      0.00       100
          86       0.00      0.00      0.00        98
          87       0.00      0.00      0.00       100
          88       0.00      0.00      0.00        99
          89       0.00      0.00      0.00        97
          90       0.00      0.00      0.00       100
          91       0.00      0.00      0.00        97
          92       0.00      0.00      0.00        97
          93       0.00      0.00      0.00       100
          94       0.00      0.00      0.00        99
          95       0.00      0.00      0.00       100
          96       0.00      0.00      0.00       100
          97       0.00      0.00      0.00       100
          98       0.00      0.00      0.00        99
          99       0.01      1.00      0.02       100

    accuracy                           0.01      9905
   macro avg       0.00      0.01      0.00      9905
weighted avg       0.00      0.01      0.00      9905


(Method , Model) : (SIFT , RandomForest)
Method spend 171.3 sec.
Model spend 0.66 sec.
Accuracy = 0.010095911155981827
F1 score = 0.0001999000499750125
Classification Report:               precision    recall  f1-score   support

           0       0.00      0.00      0.00        98
           1       0.00      0.00      0.00       100
           2       0.00      0.00      0.00        96
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00       100
           5       0.00      0.00      0.00       100
           6       0.00      0.00      0.00        99
           7       0.00      0.00      0.00       100
           8       0.00      0.00      0.00       100
           9       0.00      0.00      0.00       100
          10       0.00      0.00      0.00       100
          11       0.00      0.00      0.00        99
          12       0.00      0.00      0.00        99
          13       0.00      0.00      0.00        96
          14       0.00      0.00      0.00       100
          15       0.00      0.00      0.00       100
          16       0.00      0.00      0.00       100
          17       0.00      0.00      0.00       100
          18       0.00      0.00      0.00       100
          19       0.00      0.00      0.00       100
          20       0.00      0.00      0.00       100
          21       0.00      0.00      0.00       100
          22       0.00      0.00      0.00       100
          23       0.00      0.00      0.00       100
          24       0.00      0.00      0.00        99
          25       0.00      0.00      0.00       100
          26       0.00      0.00      0.00       100
          27       0.00      0.00      0.00        96
          28       0.00      0.00      0.00        99
          29       0.00      0.00      0.00        93
          30       0.00      0.00      0.00       100
          31       0.00      0.00      0.00       100
          32       0.00      0.00      0.00       100
          33       0.00      0.00      0.00        96
          34       0.00      0.00      0.00        98
          35       0.00      0.00      0.00        94
          36       0.00      0.00      0.00        99
          37       0.00      0.00      0.00        99
          38       0.00      0.00      0.00       100
          39       0.00      0.00      0.00        98
          40       0.00      0.00      0.00       100
          41       0.00      0.00      0.00        99
          42       0.00      0.00      0.00        99
          43       0.00      0.00      0.00        99
          44       0.00      0.00      0.00        96
          45       0.00      0.00      0.00       100
          46       0.00      0.00      0.00       100
          47       0.00      0.00      0.00        98
          48       0.00      0.00      0.00       100
          49       0.00      0.00      0.00       100
          50       0.00      0.00      0.00       100
          51       0.00      0.00      0.00       100
          52       0.00      0.00      0.00       100
          53       0.00      0.00      0.00       100
          54       0.00      0.00      0.00        99
          55       0.00      0.00      0.00       100
          56       0.00      0.00      0.00       100
          57       0.00      0.00      0.00       100
          58       0.00      0.00      0.00       100
          59       0.00      0.00      0.00       100
          60       0.00      0.00      0.00        96
          61       0.00      0.00      0.00        92
          62       0.00      0.00      0.00        97
          63       0.00      0.00      0.00        98
          64       0.00      0.00      0.00       100
          65       0.00      0.00      0.00        99
          66       0.00      0.00      0.00        97
          67       0.00      0.00      0.00        99
          68       0.00      0.00      0.00       100
          69       0.00      0.00      0.00        98
          70       0.00      0.00      0.00        98
          71       0.00      0.00      0.00       100
          72       0.00      0.00      0.00       100
          73       0.00      0.00      0.00       100
          74       0.00      0.00      0.00       100
          75       0.00      0.00      0.00       100
          76       0.00      0.00      0.00       100
          77       0.00      0.00      0.00       100
          78       0.00      0.00      0.00        99
          79       0.00      0.00      0.00        99
          80       0.00      0.00      0.00       100
          81       0.00      0.00      0.00       100
          82       0.00      0.00      0.00       100
          83       0.00      0.00      0.00        99
          84       0.00      0.00      0.00       100
          85       0.01      1.00      0.02       100
          86       0.00      0.00      0.00        98
          87       0.00      0.00      0.00       100
          88       0.00      0.00      0.00        99
          89       0.00      0.00      0.00        97
          90       0.00      0.00      0.00       100
          91       0.00      0.00      0.00        97
          92       0.00      0.00      0.00        97
          93       0.00      0.00      0.00       100
          94       0.00      0.00      0.00        99
          95       0.00      0.00      0.00       100
          96       0.00      0.00      0.00       100
          97       0.00      0.00      0.00       100
          98       0.00      0.00      0.00        99
          99       0.00      0.00      0.00       100

    accuracy                           0.01      9905
   macro avg       0.00      0.01      0.00      9905
weighted avg       0.00      0.01      0.00      9905


